"SERIAL","REGION","STATEFIP","CITY","US2016A_ACR","US2016A_VALP","US2016A_TAXP","FAMSIZE","RELATE","SEX","AGE","INCTOT","FTOTINC","INCWAGE","INCSS","INCEARN"
532383,32,21,0,"1","BBBBBBB","BB",1,1,1,76,43910,43910,910,25000,910
614269,11,25,0,"1","BBBBBBB","BB",1,1,2,35,70000,70000,70000,0,70000
573827,31,24,0,"1","0160000","32",1,1,1,68,75300,75300,7500,1300,15000
362687,31,13,0,"2","BBBBBBB","BB",5,1,2,39,32000,32000,32000,0,32000
401178,42,15,0,"B","0450000","13",3,3,1,3,9999999,126000,999999,99999,0
512901,22,20,0,"1","0010000","12",3,1,1,42,27000,30200,27000,0,27000
398425,42,15,0,"1","1500000","57",4,2,2,37,7500,107500,7500,0,7500
509809,22,20,0,"1","BBBBBBB","BB",2,3,1,7,9999999,26000,999999,99999,0
1265382,41,49,0,"1","0230000","27",5,1,2,34,34300,34300,30100,0,30100
376007,31,13,411,"1","0255000","32",4,3,2,5,9999999,132500,999999,99999,0
458151,21,17,0,"1","0280000","66",4,1,1,41,129000,129000,129000,0,129000
110665,42,6,0,"1","BBBBBBB","BB",1,1,1,55,60000,60000,30000,0,60000
1165422,33,48,0,"1","0057000","01",9,9,2,6,9999999,59800,999999,99999,0
65342,33,5,0,"B","BBBBBBB","BB",1,13,1,23,0,9999999,0,0,0
1119186,22,46,0,"1","BBBBBBB","BB",1,1,2,55,110000,110000,110000,0,110000
1368894,21,55,0,"1","0160000","44",6,3,2,8,9999999,74000,999999,99999,0
1339115,42,53,0,"2","0300000","42",2,2,2,73,23400,49270,0,8400,0
112843,42,6,6190,"B","BBBBBBB","BB",1,13,2,94,6500,9999999,0,6500,0
63893,33,5,0,"2","0075000","18",3,1,1,59,157000,230500,150000,0,150000
874246,12,36,0,"B","BBBBBBB","BB",2,3,1,22,26000,50000,26000,0,26000
1225211,33,48,0,"2","0150000","32",4,2,1,44,1,100001,0,0,1
738993,41,30,0,"2","0179000","25",4,3,2,12,9999999,18000,999999,99999,0
295086,31,12,0,"2","0200000","46",2,1,1,83,332200,417800,0,18200,0
1249408,33,48,0,"1","0150000","65",3,1,2,54,60000,120000,60000,0,60000
1186462,33,48,0,"2","0085000","14",3,2,1,67,48000,69950,0,24000,0
345990,31,12,0,"1","0078000","24",4,1,1,41,30000,30000,30000,0,30000
1355311,21,55,0,"1","0010000","03",2,1,1,64,44700,72700,44700,0,44700
683645,22,27,0,"2","0300000","30",2,2,1,53,20800,100800,20800,0,20800
90626,42,6,3730,"B","BBBBBBB","BB",3,3,2,14,9999999,15000,999999,99999,0
150441,42,6,0,"1","BBBBBBB","BB",7,3,1,9,9999999,0,999999,99999,0
1338239,42,53,0,"1","0450000","42",3,2,2,40,50300,130300,50000,0,50000
610513,11,25,0,"B","0200000","62",5,11,2,35,28000,30000,28000,0,28000
99917,42,6,3730,"B","BBBBBBB","BB",1,1,1,28,50000,50000,50000,0,50000
890091,12,36,0,"1","0200000","65",6,3,2,3,9999999,52530,999999,99999,0
1118917,22,46,0,"2","0199000","31",2,1,2,56,353000,706000,353000,0,353000
550338,33,22,0,"1","BBBBBBB","BB",1,1,2,63,8800,8800,0,6300,0
686450,22,27,0,"2","0250000","27",2,1,1,75,21100,34800,0,14000,0
33104,41,4,5350,"1","0130000","17",9,3,2,4,9999999,11000,999999,99999,0
1146928,32,47,0,"2","0090000","22",2,2,1,65,20700,62710,0,15000,0
671859,22,27,0,"3","0900000","31",1,1,2,79,28600,28600,0,28600,0
802843,41,35,0,"1","BBBBBBB","BB",3,1,1,22,48000,58700,48000,0,48000
1310243,31,51,310,"1","2589000","68",1,12,2,21,680,680,680,0,680
1246106,33,48,0,"3","0225000","42",2,1,1,51,331000,374000,0,0,331000
614899,11,25,810,"1","BBBBBBB","BB",2,2,2,67,9600,18000,0,9600,0
49775,41,4,0,"1","0500000","52",2,1,1,59,40000,58000,0,0,0
1254187,33,48,0,"1","0220000","24",5,3,2,15,0,50000,999999,0,0
277520,31,12,0,"1","BBBBBBB","BB",4,3,1,16,0,113000,0,0,0
924616,31,37,0,"2","0070000","12",5,3,2,15,0,95170,999999,0,0
483267,21,18,2990,"1","0250000","40",2,2,2,72,38500,96800,0,16400,0
723769,22,29,0,"B","BBBBBBB","BB",1,1,2,53,12000,12000,12000,0,12000
1369014,21,55,0,"3","0275000","50",3,11,1,48,40500,31500,40500,0,40500
537813,32,21,0,"3","0200000","31",4,3,1,3,9999999,140000,999999,99999,0
1113592,31,45,0,"1","0180000","18",2,2,1,56,60000,120000,60000,0,60000
883735,12,36,0,"1","BBBBBBB","BB",3,3,1,5,9999999,32000,999999,99999,0
137224,42,6,3690,"B","BBBBBBB","BB",2,1,2,38,38000,38000,38000,0,38000
1046022,12,42,0,"2","0125000","36",3,1,1,62,20000,100200,0,20000,0
1368166,21,55,0,"3","0225000","33",1,1,1,72,21800,21800,0,16800,0
1180918,33,48,0,"1","BBBBBBB","BB",3,3,1,5,9999999,34000,999999,99999,0
1218924,33,48,0,"1","0060000","12",2,2,2,60,16200,36190,15000,0,15000
1026145,42,41,0,"2","0300000","55",5,3,1,9,9999999,93801,999999,99999,0
893711,12,36,0,"1","0075000","30",3,1,2,82,22800,42800,0,22800,0
108090,42,6,0,"1","0900000","66",3,2,2,45,5000,165050,5000,0,5000
683652,22,27,0,"B","BBBBBBB","BB",3,3,1,6,9999999,40000,999999,99999,0
1279425,31,51,0,"1","0550000","63",3,2,2,48,60000,235150,60000,0,60000
1338280,42,53,0,"B","BBBBBBB","BB",3,1,2,37,9220,9220,0,0,0
358452,31,13,0,"1","0180000","34",1,12,2,46,21000,21000,21000,0,21000
