Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
002820263,B03,00084782,Structure Fire,10/08/2000,10/08/2000,10/08/2000 09:36:52 PM,10/08/2000 09:37:31 PM,10/08/2000 09:38:19 PM,10/08/2000 09:38:55 PM,10/08/2000 09:42:08 PM,,,Other,10/08/2000 09:52:05 PM,1800 Block of VALLEJO ST,SF,94123,B04,38,3334,3,3,3,false,,1,CHIEF,2,4,2,Marina,"(37.7962218075989, -122.427726234307)",002820263-B03
152210843,E03,15084124,Citizen Assist / Service Call,08/09/2015,08/09/2015,08/09/2015 08:14:00 AM,08/09/2015 08:15:31 AM,08/09/2015 08:15:51 AM,08/09/2015 08:18:54 AM,08/09/2015 08:18:54 AM,,,Fire,08/09/2015 08:24:39 AM,1000 Block of SUTTER ST,San Francisco,94109,B04,03,1557,3,3,3,true,Alarm,1,ENGINE,2,4,3,Nob Hill,"(37.7881263034393, -122.417657214041)",152210843-E03
030010387,T18,03000275,Structure Fire,01/01/2003,01/01/2003,01/01/2003 03:01:04 PM,01/01/2003 03:02:19 PM,01/01/2003 03:02:29 PM,01/01/2003 03:04:18 PM,,,,Other,01/01/2003 04:10:01 PM,500 Block of JOHN MUIR DR,SF,94132,B08,19,8714,3,3,3,false,,1,TRUCK,8,8,7,Lakeshore,"(37.714334813698, -122.492047871678)",030010387-T18
170972868,60,17041585,Medical Incident,04/07/2017,04/07/2017,04/07/2017 04:35:50 PM,04/07/2017 04:35:50 PM,04/07/2017 04:41:20 PM,04/07/2017 04:41:24 PM,,,,Cancelled,04/07/2017 04:55:37 PM,800 Block of MARKET ST,San Francisco,94103,B03,01,2212,2,2,2,true,Non Life-threatening,1,MEDIC,2,3,6,South of Market,"(37.7850811742657, -122.406497767804)",170972868-60
093350285,E01,09101455,Medical Incident,12/01/2009,12/01/2009,12/01/2009 05:16:21 PM,12/01/2009 05:17:34 PM,12/01/2009 05:18:17 PM,,,,,Other,12/01/2009 05:22:37 PM,0 Block of MINT PLZ,SF,94103,B03,01,2246,3,3,3,true,,1,ENGINE,2,3,6,South of Market,"(37.7826425026927, -122.407832679288)",093350285-E01
083000258,56,08092169,Medical Incident,10/26/2008,10/26/2008,10/26/2008 05:05:35 PM,10/26/2008 05:06:44 PM,10/26/2008 05:07:00 PM,10/26/2008 05:09:19 PM,10/26/2008 05:19:33 PM,,,Patient Declined Transport,10/26/2008 05:38:17 PM,1000 Block of HOWARD ST,SF,94103,B03,01,2314,2,2,2,true,,1,MEDIC,1,3,6,South of Market,"(37.7785992634984, -122.408503211368)",083000258-56
120460234,65,12015337,Traffic Collision,02/15/2012,02/15/2012,02/15/2012 02:57:02 PM,02/15/2012 02:59:16 PM,02/15/2012 02:59:45 PM,02/15/2012 03:00:43 PM,02/15/2012 03:06:03 PM,,,Patient Declined Transport,02/15/2012 03:21:07 PM,4TH ST/HARRISON ST,SF,94107,B03,08,2216,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,3,6,South of Market,"(37.7807914830651, -122.399616233554)",120460234-65
132560385,E08,13086724,Medical Incident,09/13/2013,09/13/2013,09/13/2013 09:34:08 PM,09/13/2013 09:34:57 PM,09/13/2013 09:35:14 PM,09/13/2013 09:36:52 PM,,,,Other,09/13/2013 09:48:56 PM,500 Block of 5TH ST,SF,94107,B03,08,2242,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,3,6,South of Market,"(37.7776242389287, -122.39998111124)",132560385-E08
001110114,D2,00033007,Structure Fire,04/20/2000,04/20/2000,04/20/2000 12:30:43 PM,04/20/2000 12:31:15 PM,04/20/2000 12:31:23 PM,04/20/2000 12:32:44 PM,,,,Other,04/20/2000 12:36:57 PM,400 Block of STEINER ST,SF,94117,B05,21,3632,3,3,3,false,,1,CHIEF,9,5,5,Haight Ashbury,"(37.7732844421426, -122.432441918199)",001110114-D2
001120230,M43,00033403,Medical Incident,04/21/2000,04/21/2000,04/21/2000 06:49:59 PM,04/21/2000 06:51:37 PM,04/21/2000 06:52:04 PM,04/21/2000 06:58:16 PM,04/21/2000 07:01:05 PM,04/21/2000 07:17:35 PM,04/21/2000 07:30:44 PM,Other,04/21/2000 07:57:57 PM,100 Block of SICKLES AVE,SF,94112,B09,33,6213,3,3,3,true,,1,MEDIC,3,9,11,Outer Mission,"(37.7099816740397, -122.454168047139)",001120230-M43
010400438,M07,01012333,Structure Fire,02/09/2001,02/09/2001,02/09/2001 10:03:25 PM,02/09/2001 10:03:57 PM,02/09/2001 10:04:04 PM,02/09/2001 10:07:23 PM,02/09/2001 10:09:58 PM,02/09/2001 10:34:52 PM,,Other,02/09/2001 11:22:32 PM,1500 Block of GUERRERO ST,SF,94110,B06,11,5577,3,3,3,true,,2,MEDIC,7,6,8,Noe Valley,"(37.7459726390518, -122.422333355558)",010400438-M07
110430417,54,11014460,Medical Incident,02/12/2011,02/12/2011,02/12/2011 09:59:54 PM,02/12/2011 10:02:34 PM,02/12/2011 10:02:57 PM,02/12/2011 10:04:49 PM,02/12/2011 10:09:49 PM,02/12/2011 10:27:43 PM,02/12/2011 10:47:34 PM,Code 2 Transport,02/12/2011 11:21:02 PM,21ST ST/TREAT AV,SF,94110,B06,07,0545,3,3,3,true,,1,MEDIC,2,6,9,Mission,"(37.7573634626497, -122.413446855888)",110430417-54
163662281,E41,16146805,Structure Fire,12/31/2016,12/31/2016,12/31/2016 04:26:19 PM,12/31/2016 04:27:01 PM,12/31/2016 04:27:21 PM,12/31/2016 04:27:48 PM,12/31/2016 04:30:36 PM,,,Fire,12/31/2016 04:35:55 PM,BAY ST/POLK ST,San Francisco,94109,B01,28,3134,3,3,3,true,Alarm,1,ENGINE,1,1,2,Russian Hill,"(37.8043549238836, -122.423466054216)",163662281-E41
180391096,E02,18016664,Medical Incident,02/08/2018,02/08/2018,02/08/2018 09:33:11 AM,02/08/2018 09:33:11 AM,02/08/2018 09:34:20 AM,02/08/2018 09:36:06 AM,02/08/2018 09:36:25 AM,,,Code 2 Transport,02/08/2018 09:55:11 AM,700 Block of BROADWAY,San Francisco,94133,B01,02,1353,B,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,Chinatown,"(37.79761460820716, -122.4091647668515)",180391096-E02
141590964,KM12,14054729,Medical Incident,06/08/2014,06/08/2014,06/08/2014 09:52:06 AM,06/08/2014 09:53:37 AM,06/08/2014 09:54:30 AM,06/08/2014 09:58:16 AM,06/08/2014 10:00:56 AM,,,Patient Declined Transport,06/08/2014 10:03:16 AM,PIERCE ST/WALLER ST,San Francisco,94117,B05,06,3635,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,5,5,Haight Ashbury,"(37.7707552308158, -122.433547160099)",141590964-KM12
