Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
132120144,E08,13071629,Medical Incident,07/31/2013,07/31/2013,07/31/2013 11:37:18 AM,07/31/2013 11:37:54 AM,07/31/2013 11:38:21 AM,07/31/2013 11:39:16 AM,07/31/2013 11:43:00 AM,,,Other,07/31/2013 11:48:10 AM,400 Block of 7TH ST,SF,94103,B03,08,0231,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,3,6,South of Market,"(37.7746534767072, -122.405118197249)",132120144-E08
121240125,E20,12041116,Alarms,05/03/2012,05/03/2012,05/03/2012 10:00:29 AM,05/03/2012 10:02:02 AM,05/03/2012 10:02:14 AM,05/03/2012 10:05:20 AM,05/03/2012 10:04:13 AM,,,Other,05/03/2012 10:07:30 AM,0 Block of WOODHAVEN CT,SF,94131,B08,20,5366,3,3,3,true,Alarm,1,ENGINE,1,8,7,Inner Sunset,"(37.7561108992721, -122.455881127888)",121240125-E20
163251260,E13,16129781,Medical Incident,11/20/2016,11/20/2016,11/20/2016 10:31:06 AM,11/20/2016 10:31:46 AM,11/20/2016 10:32:05 AM,11/20/2016 10:33:07 AM,11/20/2016 10:35:47 AM,,,Code 2 Transport,11/20/2016 10:49:22 AM,300 Block of STOCKTON ST,San Francisco,94108,B01,01,1324,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,Financial District/South Beach,"(37.7887345763527, -122.406886503606)",163251260-E13
132230019,54,13075176,Medical Incident,08/11/2013,08/10/2013,08/11/2013 01:05:38 AM,08/11/2013 01:06:39 AM,08/11/2013 01:07:12 AM,08/11/2013 01:07:27 AM,,,,Other,08/11/2013 01:13:45 AM,300 Block of GREEN ST,SF,94133,B01,28,1226,2,2,2,true,Non Life-threatening,1,MEDIC,1,1,3,North Beach,"(37.8001148903655, -122.404593187561)",132230019-54
082300047,68,08070451,Medical Incident,08/17/2008,08/16/2008,08/17/2008 03:01:23 AM,08/17/2008 03:01:51 AM,08/17/2008 03:01:58 AM,08/17/2008 03:02:39 AM,08/17/2008 03:04:41 AM,,,Patient Declined Transport,08/17/2008 03:31:45 AM,800 Block of BRYANT ST,SF,94103,B03,08,2255,2,2,2,true,,1,MEDIC,1,3,6,South of Market,"(37.775420706711, -122.403404791479)",082300047-68
022000228,E13,02059514,Alarms,07/19/2002,07/19/2002,07/19/2002 12:58:07 PM,07/19/2002 12:59:29 PM,07/19/2002 12:59:34 PM,,,,,Other,,200 Block of JEFFERSON ST,SF,94133,B01,28,0945,3,3,3,false,,1,ENGINE,3,1,3,North Beach,"(37.8080594050547, -122.41661365069)",022000228-E13
101850398,72,10058755,Medical Incident,07/04/2010,07/04/2010,07/04/2010 09:33:14 PM,07/04/2010 09:33:42 PM,07/04/2010 09:34:19 PM,,,,,Other,,300 Block of THE EMBARCADERO,SF,94111,B03,35,2112,3,E,3,true,,1,MEDIC,4,1,3,Financial District/South Beach,"(37.7978645381436, -122.396701274332)",101850398-72
173142713,61,17132114,Medical Incident,11/10/2017,11/10/2017,11/10/2017 04:53:32 PM,11/10/2017 04:56:49 PM,11/10/2017 04:57:02 PM,11/10/2017 04:57:06 PM,11/10/2017 05:00:15 PM,11/10/2017 05:18:53 PM,11/10/2017 05:30:00 PM,Code 2 Transport,11/10/2017 05:57:46 PM,1800 Block of MISSION ST,San Francisco,94103,B02,06,5215,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,9,Mission,"(37.76747787385289, -122.41983438916941)",173142713-61
002460185,E33,00073656,Structure Fire,09/02/2000,09/02/2000,09/02/2000 02:49:50 PM,09/02/2000 02:52:09 PM,09/02/2000 02:52:19 PM,09/02/2000 02:53:53 PM,,,,Other,09/02/2000 02:54:48 PM,ORIZABA AV/SAGAMORE ST,SF,94112,B09,33,8375,3,3,3,false,,1,ENGINE,2,9,11,Oceanview/Merced/Ingleside,"(37.7113703025663, -122.462570048877)",002460185-E33
121000201,89,12033152,Medical Incident,04/09/2012,04/09/2012,04/09/2012 01:08:15 PM,04/09/2012 01:10:06 PM,04/09/2012 01:10:21 PM,,04/09/2012 01:10:41 PM,04/09/2012 01:42:38 PM,04/09/2012 01:56:20 PM,Code 2 Transport,04/09/2012 02:14:54 PM,0 Block of FOLSOM ST,SF,94105,B03,35,2112,3,3,3,true,Non Life-threatening,1,MEDIC,1,3,6,Financial District/South Beach,"(37.7904094440398, -122.390442861617)",121000201-89
143421740,E42,14121521,Medical Incident,12/08/2014,12/08/2014,12/08/2014 12:58:27 PM,12/08/2014 12:59:14 PM,12/08/2014 01:00:30 PM,12/08/2014 01:02:06 PM,12/08/2014 01:06:24 PM,,,Code 2 Transport,12/08/2014 01:40:56 PM,900 Block of RUTLAND ST,San Francisco,94134,B09,44,6256,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,10,Visitacion Valley,"(37.7106276693523, -122.408217888233)",143421740-E42
