"STATEFIP","CITY","SEX","AGE","INCTOT"
45,0,1,57,29500
28,0,2,70,6400
48,0,1,25,14000
39,6970,1,32,0
6,0,2,28,1300
4,0,2,93,53400
34,0,1,66,11400
42,0,2,45,60000
15,0,1,24,2000
48,0,1,47,56000
4,5350,1,52,85000
39,0,1,30,45000
28,0,2,19,10000
24,0,1,52,118000
17,0,2,58,91580
6,0,2,4,9999999
24,0,1,14,9999999
49,0,2,67,28610
42,0,1,23,12000
53,0,2,88,21600
48,0,1,75,11300
26,0,2,68,10400
13,0,1,27,38000
53,0,2,21,0
49,0,2,36,30000
36,0,2,12,9999999
54,0,1,40,62000
42,0,1,0,9999999
39,0,2,51,75000
48,0,1,83,23240
48,0,1,8,9999999
48,0,1,11,9999999
6,0,2,52,35600
36,4610,2,41,0
11,7230,1,55,186000
5,0,2,39,75000
1,0,2,64,9200
13,0,2,70,8500
5,0,2,12,9999999
39,0,1,54,12600
37,0,2,26,35000
12,0,1,62,52000
6,0,1,78,23200
45,0,2,66,30000
34,0,1,41,109000
48,0,1,50,8800
6,2490,2,58,70000
6,0,2,12,9999999
17,0,2,33,31100
6,0,1,58,8000
44,0,1,54,31200
55,0,2,16,0
25,810,2,61,8400
6,0,1,69,92000
22,0,1,69,20200
46,0,1,69,54900
6,0,2,16,0
48,0,2,36,1400
6,0,2,67,100000
36,4610,1,10,9999999
17,0,1,38,8100
6,0,2,6,9999999
13,0,2,32,58000
6,0,2,48,16100
6,0,1,15,0
36,0,1,14,9999999
39,1330,2,81,10000
6,0,1,50,35000
8,0,2,32,42300
36,0,1,27,50000
48,0,1,61,45000
36,4610,2,48,50000
26,0,1,80,34100
26,0,1,12,9999999
8,0,2,59,48000
24,0,2,15,0
6,0,1,57,25000
6,0,1,21,5000
48,0,2,27,0
26,0,2,46,31900
16,0,2,77,10600
42,0,1,6,9999999
39,0,1,26,20000
17,1190,1,5,9999999
35,0,2,66,44000
8,0,2,22,20000
6,0,1,7,9999999
34,0,1,11,9999999
25,0,2,45,12800
6,0,1,56,70400
26,0,2,73,39000
34,0,2,53,0
