"ROWID","YEAR","DATANUM","SERIAL","HHWT","HHTYPE","REGION","STATEFIP","COUNTY","METRO","CITY","GQ","FRIDGE","PHONE","CINETHH","CILAPTOP","CISMRTPHN","CITABLET","CIHISPEED","VEHICLES","PERNUM","PERWT","RELATE","RELATED","SEX","AGE","BIRTHQTR","MARST","BIRTHYR","MARRNO","MARRINYR","YRMARR","DIVINYR","RACE","RACED","BPL","BPLD","ANCESTR1","ANCESTR1D","ANCESTR2","ANCESTR2D","CITIZEN","SCHOOL","INCTOT","FTOTINC","INCWAGE","INCSS","INCWELFR","INCRETIR","POVERTY","VETDISAB","DIFFREM"
1026393,2016,1,438206,48,4,21,17,0,4,0,1,2,2,1,1,1,2,10,1,1,47,1,101,1,54,1,6,1962,0,0,0,0,1,100,19,1900,32,321,999,9990,0,1,63000,63000,63000,0,0,0,501,0,1
2992673,2016,1,1307408,108,7,31,51,130,2,310,1,2,2,1,1,1,1,20,2,2,147,11,1115,1,40,1,3,1976,1,1,2012,1,1,100,26,2600,308,3080,999,9990,0,1,140000,140000,140000,0,0,0,501,1,1
2828364,2016,1,1238671,47,1,33,48,2150,4,0,1,2,8,1,1,1,1,10,1,4,45,3,301,1,13,4,6,2003,0,0,0,0,1,100,48,4800,210,2101,999,9990,0,2,9999999,2900,999999,99999,99999,999999,7,0,1
3133901,2016,1,1370087,104,6,21,55,0,1,0,1,2,2,3,2,2,2,0,9,1,105,1,101,2,63,1,4,1953,2,1,1976,1,1,100,55,5500,22,220,26,261,0,1,15200,15200,0,4700,0,10500,122,0,1
1712278,2016,1,747537,16,1,22,31,0,0,0,1,2,1,3,2,1,2,0,1,2,25,2,201,1,40,3,1,1976,1,1,2012,1,1,100,31,3100,50,500,999,9990,0,1,31200,43000,31200,0,0,0,271,0,1
2410848,2016,1,1056452,183,6,12,42,450,3,0,1,2,2,1,1,1,1,10,1,1,184,1,101,2,28,2,6,1988,0,0,0,0,1,100,42,4200,88,880,171,1711,0,1,22000,22000,22000,0,0,0,178,0,1
1744134,2016,1,761216,164,1,11,33,0,4,0,1,2,2,1,1,2,2,10,4,3,117,3,301,1,53,1,6,1963,0,0,0,0,1,100,48,4800,32,321,999,9990,0,1,20800,70000,20800,0,0,0,285,0,1
1659491,2016,1,723663,205,5,22,29,0,1,0,1,2,2,1,1,1,1,10,3,2,161,11,1115,1,22,2,6,1994,0,0,0,0,4,400,500,50000,706,7060,999,9990,3,2,0,0,0,0,0,0,1,0,1
2210072,2016,1,965542,67,4,21,39,490,4,0,1,2,2,1,1,1,2,10,1,1,67,1,101,1,21,3,6,1995,0,0,0,0,1,100,39,3900,51,511,999,9990,0,2,17000,17000,17000,0,0,0,137,0,1
1646177,2016,1,717580,91,1,22,29,0,1,0,1,2,2,1,2,1,2,20,3,3,167,3,303,2,24,2,3,1992,1,1,2010,1,1,100,29,2900,940,9400,999,9990,0,1,0,81550,0,0,0,0,279,0,1
